               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075778,             0.04606,                   0,                   0,                   0,                   0,                   0,            0.078351,            0.030866,                   0,             0.00079,             0.00079,             0.09289
                   1,            0.066134,            0.029804,                   0,                   0,                   0,                   0,                   0,            0.069047,            0.030439,                   0,             0.00159,             0.00159,             0.08569
                   2,            0.059157,            0.033958,                   0,           8.384e-05,            0.011211,          4.2173e-05,          6.7273e-06,            0.057894,            0.035998,                   0,           0.0023899,           0.0023899,             0.07849
                   3,            0.050996,            0.034967,                   0,          3.4042e-05,           0.0044843,          1.6753e-05,          2.5111e-06,            0.056033,            0.034018,                   0,           0.0031898,           0.0031898,             0.07129
                   4,            0.047226,            0.036848,                   0,           0.0039883,            0.024664,           0.0017418,          0.00047714,            0.048321,            0.037246,                   0,           0.0039896,           0.0039896,             0.06409
                   5,            0.043359,            0.036517,                   0,              0.0409,              0.1435,            0.015237,            0.004979,            0.047102,            0.035471,                   0,           0.0047893,           0.0047893,            0.056889
                   6,            0.043139,            0.035417,                   0,              0.1005,            0.089686,            0.024875,           0.0069085,             0.04479,            0.034615,                   0,           0.0055888,           0.0055888,            0.049689
                   7,            0.041004,            0.034058,                   0,              0.3089,             0.18386,             0.13332,            0.054544,            0.041587,            0.033838,                   0,           0.0063881,           0.0063881,            0.042488
                   8,            0.039441,             0.03235,                   0,             0.34763,             0.22646,             0.19238,             0.06351,            0.039243,            0.033105,                   0,           0.0071872,           0.0071872,            0.035287
                   9,            0.038703,            0.031288,                   0,             0.35857,             0.23094,             0.20352,            0.077919,            0.035548,             0.03143,                   0,            0.007986,            0.007986,            0.028086
                  10,            0.037519,             0.02943,                   0,             0.37025,             0.23543,             0.19595,            0.045524,            0.037904,            0.028021,                   0,           0.0087846,           0.0087846,            0.020885
                  11,            0.038015,            0.027554,                   0,             0.31562,             0.32779,             0.20894,            0.061129,            0.035066,            0.027554,                   0,           0.0095828,           0.0095828,            0.013683
                  12,            0.036527,            0.026966,                   0,             0.32826,             0.30269,             0.18924,            0.060773,            0.036242,            0.027074,                   0,           0.0099911,           0.0099911,           0.0099911
                  13,            0.034551,            0.026202,                   0,             0.62176,             0.34081,             0.37622,             0.14172,            0.034155,            0.025369,                   0,           0.0099911,           0.0099911,           0.0099911
                  14,            0.033133,            0.027713,                   0,             0.47993,              0.3722,             0.38846,             0.16415,            0.033763,            0.029148,                   0,           0.0099896,           0.0099896,           0.0099896
                  15,            0.031333,             0.02619,                   0,             0.55806,             0.38222,             0.36875,             0.10671,            0.034387,            0.022209,                   0,           0.0099879,           0.0099879,           0.0099879
                  16,            0.033257,            0.024278,                   0,             0.56678,             0.34081,             0.38469,             0.15203,            0.032791,            0.025343,                   0,           0.0099861,           0.0099861,           0.0099861
                  17,            0.031508,            0.023666,                   0,             0.67591,              0.4302,             0.45783,             0.14547,            0.032654,            0.022731,                   0,           0.0099842,           0.0099842,           0.0099842
                  18,            0.031259,            0.022723,                   0,             0.70948,             0.49281,             0.53782,             0.21969,            0.029851,            0.023458,                   0,           0.0099822,           0.0099822,           0.0099822
                  19,            0.029012,            0.022906,                   0,             0.66564,             0.49548,             0.50095,             0.16782,            0.032323,            0.022368,                   0,             0.00998,             0.00998,             0.00998
                  20,             0.02958,            0.021738,                   0,             0.79445,             0.53812,             0.62862,             0.24625,            0.030726,            0.020077,                   0,           0.0099778,           0.0099778,           0.0099778
                  21,            0.028318,            0.021813,                   0,             0.66843,              0.4927,             0.53426,             0.21006,            0.031307,            0.021261,                   0,           0.0099753,           0.0099753,           0.0099753
                  22,            0.029803,            0.021307,                   0,             0.77426,             0.49217,             0.56816,             0.25154,             0.02919,            0.021872,                   0,           0.0099728,           0.0099728,           0.0099728
                  23,            0.029207,            0.020904,                   0,              0.8265,             0.54036,             0.65323,              0.3118,            0.028042,            0.020099,                   0,           0.0099702,           0.0099702,           0.0099702
                  24,            0.028794,            0.020394,                   0,             0.91097,             0.52915,             0.67765,             0.32988,            0.027306,            0.019719,                   0,           0.0099674,           0.0099674,           0.0099674
                  25,            0.026452,            0.019873,                   0,             0.86001,             0.58072,             0.67654,             0.27529,            0.028548,            0.019011,                   0,           0.0099645,           0.0099645,           0.0099645
                  26,            0.027322,            0.019612,                   0,             0.83872,             0.57399,             0.65633,             0.31443,            0.027846,            0.019471,                   0,           0.0099615,           0.0099615,           0.0099615
                  27,            0.027194,            0.019435,                   0,             0.87292,             0.60314,             0.70402,             0.34291,            0.026275,            0.018538,                   0,           0.0099584,           0.0099584,           0.0099584
                  28,            0.025992,            0.018722,                   0,             0.82332,             0.65919,             0.71804,             0.34259,            0.025534,            0.018238,                   0,           0.0099551,           0.0099551,           0.0099551
                  29,            0.026078,            0.018653,                   0,             0.86684,             0.56923,             0.69057,              0.3455,            0.025911,            0.019095,                   0,           0.0099517,           0.0099517,           0.0099517
                  30,            0.026064,            0.018222,                   0,             0.92009,              0.5938,             0.72723,              0.3599,            0.026428,            0.017966,                   0,           0.0099482,           0.0099482,           0.0099482
                  31,            0.026096,             0.01833,                   0,              0.8209,             0.62689,             0.70885,             0.33503,            0.025657,             0.01827,                   0,           0.0099446,           0.0099446,           0.0099446
                  32,            0.025181,             0.01884,                   0,             0.85387,             0.68127,             0.76818,             0.37353,            0.025167,            0.016897,                   0,           0.0099409,           0.0099409,           0.0099409
                  33,              0.0246,            0.017856,                   0,             0.84548,             0.56726,             0.67492,             0.31792,            0.025772,            0.019203,                   0,            0.009937,            0.009937,            0.009937
                  34,            0.024181,            0.017417,                   0,             0.74053,             0.70392,             0.73185,             0.33259,            0.026508,            0.016604,                   0,            0.009933,            0.009933,            0.009933
                  35,            0.025874,            0.017726,                   0,             0.88956,             0.65016,             0.75391,             0.35522,            0.026247,            0.016603,                   0,           0.0099289,           0.0099289,           0.0099289
                  36,             0.02527,            0.017018,                   0,             0.85867,             0.69474,             0.77577,             0.36377,            0.025174,            0.016477,                   0,           0.0099246,           0.0099246,           0.0099246
                  37,            0.024719,            0.017102,                   0,             0.87032,             0.67713,             0.77558,             0.37264,            0.024204,            0.016583,                   0,           0.0099203,           0.0099203,           0.0099203
                  38,             0.02453,             0.01735,                   0,              0.8993,             0.58072,             0.71307,             0.35111,            0.025007,            0.017865,                   0,           0.0099158,           0.0099158,           0.0099158
                  39,            0.024546,            0.017245,                   0,             0.82644,              0.6299,             0.72475,             0.35147,            0.025965,            0.017746,                   0,           0.0099112,           0.0099112,           0.0099112
                  40,            0.023709,            0.016558,                   0,             0.84537,             0.68834,             0.77576,             0.38631,            0.023945,            0.016168,                   0,           0.0099065,           0.0099065,           0.0099065
                  41,            0.024386,            0.016608,                   0,             0.88177,              0.6704,             0.77738,             0.37608,            0.025249,            0.016094,                   0,           0.0099017,           0.0099017,           0.0099017
                  42,            0.022783,            0.016193,                   0,             0.83545,             0.72859,              0.7923,             0.39743,            0.024828,            0.015854,                   0,           0.0098967,           0.0098967,           0.0098967
                  43,            0.023119,            0.016114,                   0,             0.80146,             0.70598,              0.7719,             0.38526,            0.024925,             0.01612,                   0,           0.0098916,           0.0098916,           0.0098916
                  44,            0.022491,            0.016201,                   0,             0.83706,             0.72646,             0.80005,             0.40143,            0.023465,            0.015628,                   0,           0.0098864,           0.0098864,           0.0098864
                  45,            0.024201,            0.016049,                   0,             0.88143,             0.70179,             0.79119,              0.4048,            0.024304,            0.016106,                   0,           0.0098811,           0.0098811,           0.0098811
                  46,            0.022808,            0.015859,                   0,               0.934,              0.6704,             0.78243,             0.39837,            0.024686,            0.016003,                   0,           0.0098757,           0.0098757,           0.0098757
                  47,            0.024055,            0.015938,                   0,             0.86258,              0.7037,             0.78652,             0.38463,            0.024764,            0.016013,                   0,           0.0098701,           0.0098701,           0.0098701
                  48,             0.02306,             0.01569,                   0,             0.85263,             0.72643,             0.79694,             0.39899,            0.024228,            0.016005,                   0,           0.0098644,           0.0098644,           0.0098644
                  49,            0.024084,            0.015562,                   0,             0.85603,             0.75992,             0.82551,             0.41546,            0.023471,            0.015228,                   0,           0.0098586,           0.0098586,           0.0098586
                  50,            0.022284,            0.015335,                   0,             0.87304,             0.66592,             0.78158,             0.40267,            0.023699,            0.016353,                   0,           0.0098527,           0.0098527,           0.0098527
                  51,             0.02316,             0.01547,                   0,             0.90925,             0.70179,             0.80298,             0.39365,             0.02404,             0.01598,                   0,           0.0098467,           0.0098467,           0.0098467
                  52,            0.023338,            0.015549,                   0,             0.82294,             0.71905,             0.79252,             0.39869,            0.023333,            0.015897,                   0,           0.0098405,           0.0098405,           0.0098405
                  53,            0.023853,            0.015896,                   0,             0.81711,              0.6861,             0.75877,             0.38109,            0.024894,            0.016993,                   0,           0.0098342,           0.0098342,           0.0098342
                  54,            0.023017,            0.015457,                   0,             0.82108,             0.62766,             0.70257,             0.36056,            0.024184,            0.018576,                   0,           0.0098278,           0.0098278,           0.0098278
                  55,            0.022799,            0.015307,                   0,             0.86478,             0.76009,             0.82253,             0.41337,             0.02431,            0.015196,                   0,           0.0098213,           0.0098213,           0.0098213
                  56,            0.022836,            0.014466,                   0,              0.8559,             0.71917,             0.79969,             0.41943,             0.02289,            0.015574,                   0,           0.0098147,           0.0098147,           0.0098147
                  57,            0.022721,            0.014631,                   0,             0.88679,              0.6861,             0.77921,             0.40842,            0.022934,            0.017891,                   0,           0.0098079,           0.0098079,           0.0098079
