               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.020553,            0.013929,                   0,             0.93171,             0.85348,             0.92364,             0.49742,            0.024288,            0.013601,                   0,           0.0044066,           0.0044066,           0.0044066
                  39,            0.020596,            0.013502,                   0,             0.90579,             0.84845,             0.90434,               0.488,            0.024987,            0.013987,                   0,           0.0041937,           0.0041937,           0.0041937
                  40,            0.020754,            0.013561,                   0,             0.93002,             0.85264,             0.92156,             0.50136,            0.023986,            0.013542,                   0,            0.003984,            0.003984,            0.003984
                  41,            0.020485,            0.013546,                   0,             0.95283,             0.84795,             0.92766,             0.50695,            0.023294,            0.013484,                   0,           0.0037779,           0.0037779,           0.0037779
                  42,            0.020146,            0.013216,                   0,             0.93986,             0.87322,             0.93764,             0.51483,            0.022414,            0.013088,                   0,            0.003576,            0.003576,            0.003576
                  43,            0.020039,            0.013116,                   0,             0.92746,             0.87497,             0.92817,             0.50993,            0.022886,             0.01331,                   0,           0.0033787,           0.0033787,           0.0033787
                  44,             0.01994,            0.013097,                   0,             0.93973,             0.87062,             0.93751,             0.51308,            0.025172,            0.013037,                   0,           0.0031865,           0.0031865,           0.0031865
                  45,            0.019795,            0.013026,                   0,               0.933,             0.88276,             0.94566,             0.52731,            0.022277,             0.01303,                   0,           0.0029999,           0.0029999,           0.0029999
                  46,            0.019423,            0.012734,                   0,             0.93156,             0.87573,             0.93436,             0.51318,            0.022619,            0.013197,                   0,           0.0028194,           0.0028194,           0.0028194
                  47,            0.019105,            0.012708,                   0,             0.93966,             0.88907,              0.9446,             0.52962,            0.021662,            0.012883,                   0,           0.0026452,           0.0026452,           0.0026452
                  48,            0.019022,            0.012572,                   0,             0.94034,             0.88035,             0.94553,             0.53028,            0.021144,            0.012712,                   0,            0.002478,            0.002478,            0.002478
                  49,            0.018252,            0.012407,                   0,             0.94707,             0.89463,             0.95415,             0.53635,            0.021101,            0.012455,                   0,            0.002318,            0.002318,            0.002318
                  50,            0.018464,              0.0121,                   0,             0.95357,             0.88329,             0.95378,              0.5368,            0.021668,             0.01252,                   0,           0.0021657,           0.0021657,           0.0021657
                  51,            0.018485,            0.012129,                   0,             0.93806,             0.90974,             0.95405,             0.54821,            0.021736,             0.01251,                   0,           0.0020215,           0.0020215,           0.0020215
                  52,            0.018492,            0.012001,                   0,             0.93732,              0.9005,             0.95222,             0.53743,            0.021232,            0.012721,                   0,           0.0018856,           0.0018856,           0.0018856
                  53,            0.018247,            0.012087,                   0,             0.93773,              0.9103,             0.95646,             0.53854,            0.021354,            0.012242,                   0,           0.0017584,           0.0017584,           0.0017584
                  54,            0.017808,            0.011857,                   0,             0.94559,              0.9089,             0.95774,             0.54714,            0.020675,            0.012357,                   0,           0.0016402,           0.0016402,           0.0016402
                  55,            0.017841,            0.011856,                   0,             0.94867,             0.90176,             0.95752,             0.54517,            0.020633,            0.012406,                   0,           0.0015314,           0.0015314,           0.0015314
                  56,            0.018117,            0.011864,                   0,             0.93913,             0.90676,             0.95615,             0.53753,            0.021396,            0.012365,                   0,            0.001432,            0.001432,            0.001432
                  57,            0.017783,            0.011747,                   0,              0.9413,             0.91549,             0.96012,             0.54028,            0.021229,            0.012034,                   0,           0.0013425,           0.0013425,           0.0013425
                  58,            0.017921,            0.011673,                   0,             0.94326,             0.91688,             0.96048,             0.54711,            0.020851,            0.011931,                   0,           0.0012631,           0.0012631,           0.0012631
                  59,            0.017284,            0.011676,                   0,             0.94771,             0.91309,             0.96089,             0.54424,            0.020917,            0.011778,                   0,           0.0011938,           0.0011938,           0.0011938
                  60,            0.017469,            0.011484,                   0,             0.94926,             0.91098,             0.96272,             0.53958,            0.021089,            0.011726,                   0,           0.0011349,           0.0011349,           0.0011349
                  61,            0.017381,            0.011507,                   0,             0.95487,             0.90594,             0.96205,             0.53801,            0.021214,            0.011861,                   0,           0.0010865,           0.0010865,           0.0010865
                  62,            0.017418,            0.011435,                   0,             0.94876,             0.91016,             0.96142,             0.54713,            0.020692,            0.011842,                   0,           0.0010487,           0.0010487,           0.0010487
                  63,            0.017454,            0.011427,                   0,             0.94236,             0.91294,             0.96123,              0.5309,             0.02119,            0.011749,                   0,           0.0010217,           0.0010217,           0.0010217
