               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06383,             0.03304,                   0,          1.5221e-05,           0.0013118,          7.6327e-06,           2.798e-06,            0.049185,            0.053684,                   0,             0.00212,             0.00212,             0.08092
                   1,            0.048116,            0.034283,                   0,            0.056683,            0.064714,            0.018359,           0.0041903,            0.043558,            0.049924,                   0,           0.0042496,           0.0042496,             0.06175
                   2,            0.042545,            0.031265,                   0,             0.24287,             0.17272,             0.11521,            0.038054,            0.035362,            0.048306,                   0,           0.0063775,           0.0063775,            0.042577
                   3,            0.038779,            0.028235,                   0,             0.32988,             0.20988,             0.15006,            0.036825,            0.038082,            0.047682,                   0,           0.0085024,           0.0085024,            0.023402
                   4,            0.038627,             0.02765,                   0,             0.45546,             0.26498,             0.25026,            0.088422,             0.03678,            0.044953,                   0,           0.0099842,           0.0099842,           0.0099842
                   5,            0.037799,            0.027248,                   0,             0.47801,             0.20245,             0.20758,            0.073149,            0.035878,            0.047258,                   0,           0.0099842,           0.0099842,           0.0099842
                   6,            0.035865,            0.025636,                   0,             0.43961,             0.23262,              0.2209,            0.080667,            0.034513,            0.047061,                   0,           0.0099753,           0.0099753,           0.0099753
                   7,            0.033949,            0.024785,                   0,             0.65941,             0.39878,             0.46046,             0.18704,            0.028684,             0.03915,                   0,           0.0099645,           0.0099645,           0.0099645
                   8,            0.032839,            0.023603,                   0,             0.60845,             0.32003,             0.35689,             0.15687,            0.030078,            0.043441,                   0,           0.0099517,           0.0099517,           0.0099517
                   9,            0.031038,            0.023022,                   0,             0.81853,             0.36685,             0.46227,             0.20669,            0.029118,            0.036954,                   0,            0.009937,            0.009937,            0.009937
                  10,            0.030686,             0.02234,                   0,             0.67081,             0.40796,             0.46998,             0.19206,            0.029091,            0.037014,                   0,           0.0099203,           0.0099203,           0.0099203
                  11,            0.029948,            0.021249,                   0,             0.75233,             0.51159,             0.59104,             0.26846,            0.027863,             0.03221,                   0,           0.0099017,           0.0099017,           0.0099017
                  12,            0.028937,            0.020898,                   0,             0.75655,             0.47422,             0.54001,             0.24314,            0.029866,              0.0339,                   0,           0.0098811,           0.0098811,           0.0098811
                  13,             0.02886,            0.020602,                   0,             0.70039,             0.48754,             0.54673,              0.2229,            0.028014,            0.034979,                   0,           0.0098586,           0.0098586,           0.0098586
                  14,            0.028405,            0.019879,                   0,             0.82582,             0.49847,              0.5987,             0.25873,            0.027519,            0.032203,                   0,           0.0098342,           0.0098342,           0.0098342
                  15,            0.027222,            0.019351,                   0,             0.88818,             0.52383,             0.63975,             0.29376,            0.026806,            0.030343,                   0,           0.0098079,           0.0098079,           0.0098079
                  16,            0.026334,            0.018615,                   0,             0.81042,             0.48579,             0.57832,             0.26356,             0.02723,            0.033941,                   0,           0.0097798,           0.0097798,           0.0097798
                  17,            0.026948,            0.018417,                   0,             0.82719,             0.53345,             0.63196,              0.2867,            0.025971,            0.031284,                   0,           0.0097497,           0.0097497,           0.0097497
                  18,            0.026346,            0.018426,                   0,             0.79315,             0.53214,             0.62794,             0.30032,            0.025297,            0.031715,                   0,           0.0097178,           0.0097178,           0.0097178
                  19,            0.027443,            0.017846,                   0,             0.84197,             0.53826,             0.63638,             0.30078,            0.026018,            0.033033,                   0,            0.009684,            0.009684,            0.009684
                  20,            0.026122,            0.017494,                   0,             0.83213,              0.5505,              0.6332,             0.29582,            0.025817,             0.03361,                   0,           0.0096484,           0.0096484,           0.0096484
                  21,            0.026065,            0.017404,                   0,             0.85701,             0.52939,             0.62424,             0.27309,            0.025904,            0.032877,                   0,            0.009611,            0.009611,            0.009611
                  22,            0.025622,            0.016917,                   0,             0.79913,             0.43489,             0.50014,             0.23401,            0.030392,            0.037316,                   0,           0.0095717,           0.0095717,           0.0095717
                  23,            0.024579,            0.016817,                   0,             0.81574,             0.54045,             0.62359,             0.31379,            0.026342,            0.034879,                   0,           0.0095307,           0.0095307,           0.0095307
                  24,            0.024324,            0.016241,                   0,              0.8206,             0.53039,             0.62412,             0.29655,            0.025246,            0.033115,                   0,           0.0094879,           0.0094879,           0.0094879
                  25,            0.024014,            0.016223,                   0,              0.7943,             0.44163,             0.51931,             0.22627,            0.028689,            0.038701,                   0,           0.0094434,           0.0094434,           0.0094434
                  26,            0.023839,             0.01591,                   0,             0.82323,             0.54482,             0.63925,             0.29075,            0.025133,            0.034369,                   0,           0.0093971,           0.0093971,           0.0093971
                  27,            0.023195,            0.015308,                   0,             0.84853,             0.55356,             0.64523,             0.31332,            0.026172,            0.035121,                   0,           0.0093491,           0.0093491,           0.0093491
                  28,            0.023044,            0.014997,                   0,              0.8505,             0.52427,             0.63512,             0.30422,            0.025447,            0.036454,                   0,           0.0092995,           0.0092995,           0.0092995
                  29,            0.023655,            0.014922,                   0,             0.84791,             0.52898,             0.61747,             0.28914,            0.026326,            0.033099,                   0,           0.0092481,           0.0092481,           0.0092481
                  30,            0.023224,            0.014717,                   0,             0.78079,             0.50928,              0.5917,             0.27705,            0.025893,            0.037718,                   0,           0.0091952,           0.0091952,           0.0091952
                  31,            0.022832,              0.0143,                   0,             0.79203,             0.52123,             0.61133,             0.29603,            0.026423,            0.038653,                   0,           0.0091406,           0.0091406,           0.0091406
                  32,            0.022676,            0.014039,                   0,             0.84876,              0.5094,             0.60613,             0.28383,            0.026253,            0.036209,                   0,           0.0090844,           0.0090844,           0.0090844
